"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 17:33:00 MSK 2024","Sat Nov 23 17:33:09 MSK 2024","9786","tests","test_scooter_order","TestOrders","","","Заказ самоката через верхнюю кнопку",""
"passed","Mon Nov 25 18:52:43 MSK 2024","Mon Nov 25 18:52:48 MSK 2024","5430","tests","test_questions","TestMainPage","","","test_questions_and_answers[1-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a: \u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437 \u2014 \u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442. \u0415\u0441\u043b\u0438 \u0445\u043e\u0442\u0438\u0442\u0435 \u043f\u043e\u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0441 \u0434\u0440\u0443\u0437\u044c\u044f\u043c\u0438, \u043c\u043e\u0436\u0435\u0442\u0435 \u043f\u0440\u043e\u0441\u0442\u043e \u0441\u0434\u0435\u043b\u0430\u0442\u044c \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0437\u0430\u043a\u0430\u0437\u043e\u0432 \u2014 \u043e\u0434\u0438\u043d \u0437\u0430 \u0434\u0440\u0443\u0433\u0438\u043c.]",""
"passed","Mon Nov 25 18:54:04 MSK 2024","Mon Nov 25 18:54:11 MSK 2024","6263","tests","test_questions","TestMainPage","","","test_questions_and_answers[5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439. \u042d\u0442\u043e\u0433\u043e \u0445\u0432\u0430\u0442\u0430\u0435\u0442 \u043d\u0430 \u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a \u2014 \u0434\u0430\u0436\u0435 \u0435\u0441\u043b\u0438 \u0431\u0443\u0434\u0435\u0442\u0435 \u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0431\u0435\u0437 \u043f\u0435\u0440\u0435\u0434\u044b\u0448\u0435\u043a \u0438 \u0432\u043e \u0441\u043d\u0435. \u0417\u0430\u0440\u044f\u0434\u043a\u0430 \u043d\u0435 \u043f\u043e\u043d\u0430\u0434\u043e\u0431\u0438\u0442\u0441\u044f.]",""
"passed","Sat Nov 23 17:32:21 MSK 2024","Sat Nov 23 17:32:27 MSK 2024","5555","tests","test_questions","TestMainPage","","","test_questions_and_answers[6-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438. \u0428\u0442\u0440\u0430\u0444\u0430 \u043d\u0435 \u0431\u0443\u0434\u0435\u0442, \u043e\u0431\u044a\u044f\u0441\u043d\u0438\u0442\u0435\u043b\u044c\u043d\u043e\u0439 \u0437\u0430\u043f\u0438\u0441\u043a\u0438 \u0442\u043e\u0436\u0435 \u043d\u0435 \u043f\u043e\u043f\u0440\u043e\u0441\u0438\u043c. \u0412\u0441\u0435 \u0436\u0435 \u0441\u0432\u043e\u0438.]",""
"passed","Mon Nov 25 18:52:24 MSK 2024","Mon Nov 25 18:52:28 MSK 2024","4535","tests","test_questions","TestMainPage","","","test_questions_and_answers[0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u2014 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]",""
"broken","Mon Nov 25 18:51:45 MSK 2024","Mon Nov 25 18:51:58 MSK 2024","13038","tests","test_logos","TestLogos","","","Проверка логотипа Яндекса",""
"passed","Sat Nov 23 17:32:39 MSK 2024","Sat Nov 23 17:32:47 MSK 2024","7471","tests","test_questions","TestMainPage","","","test_questions_and_answers[7-\u0414\u0430, \u043e\u0431\u044f\u0437\u0430\u0442\u0435\u043b\u044c\u043d\u043e. \u0412\u0441\u0435\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0418 \u041c\u043e\u0441\u043a\u0432\u0435, \u0438 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0439 \u043e\u0431\u043b\u0430\u0441\u0442\u0438.]",""
"passed","Mon Nov 25 18:53:03 MSK 2024","Mon Nov 25 18:53:08 MSK 2024","5427","tests","test_questions","TestMainPage","","","test_questions_and_answers[2-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043d\u0430 8 \u043c\u0430\u044f. \u041c\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 \u0442\u0435\u0447\u0435\u043d\u0438\u0435 \u0434\u043d\u044f. \u041e\u0442\u0441\u0447\u0451\u0442 \u0432\u0440\u0435\u043c\u0435\u043d\u0438 \u0430\u0440\u0435\u043d\u0434\u044b \u043d\u0430\u0447\u0438\u043d\u0430\u0435\u0442\u0441\u044f \u0441 \u043c\u043e\u043c\u0435\u043d\u0442\u0430, \u043a\u043e\u0433\u0434\u0430 \u0432\u044b \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043a\u0443\u0440\u044c\u0435\u0440\u0443. \u0415\u0441\u043b\u0438 \u043c\u044b \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 20:30, \u0441\u0443\u0442\u043e\u0447\u043d\u0430\u044f \u0430\u0440\u0435\u043d\u0434\u0430 \u0437\u0430\u043a\u043e\u043d\u0447\u0438\u0442\u0441\u044f 9 \u043c\u0430\u044f \u0432 20:30.]",""
"passed","Mon Nov 25 18:53:23 MSK 2024","Mon Nov 25 18:53:29 MSK 2024","5917","tests","test_questions","TestMainPage","","","test_questions_and_answers[3-\u0422\u043e\u043b\u044c\u043a\u043e \u043d\u0430\u0447\u0438\u043d\u0430\u044f \u0441 \u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e \u0434\u043d\u044f. \u041d\u043e \u0441\u043a\u043e\u0440\u043e \u0441\u0442\u0430\u043d\u0435\u043c \u0440\u0430\u0441\u0442\u043e\u0440\u043e\u043f\u043d\u0435\u0435.]",""
"passed","Mon Nov 25 18:52:08 MSK 2024","Mon Nov 25 18:52:11 MSK 2024","3068","tests","test_logos","TestLogos","","","Проверка логотипа Самоката",""
"passed","Mon Nov 25 18:53:44 MSK 2024","Mon Nov 25 18:53:50 MSK 2024","6859","tests","test_questions","TestMainPage","","","test_questions_and_answers[4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443 \u043f\u043e \u043a\u0440\u0430\u0441\u0438\u0432\u043e\u043c\u0443 \u043d\u043e\u043c\u0435\u0440\u0443 1010.]",""
"passed","Sat Nov 23 17:33:22 MSK 2024","Sat Nov 23 17:33:33 MSK 2024","11068","tests","test_scooter_order","TestOrders","","","Заказ самоката через нижнюю кнопку",""
